 2016-04-17 11:56:07,188 [P12336/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on USER-PC
 2016-04-17 11:56:08,522 [P12336/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 13ms)
 2016-04-17 11:56:10,170 [P12336/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-04-17 11:56:10,790 [P12336/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-04-17 11:56:10,839 [P12336/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-04-17 11:56:10,892 [P12336/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-04-17 11:56:10,990 [P12336/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-04-17 11:56:11,037 [P12336/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2016-04-17 11:56:11,041 [P12336/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-04-17 11:56:13,616 [P12336/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-04-17 11:56:13,639 [P12336/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 22ms)
 2016-04-17 11:56:14,056 [P12336/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-04-17 11:56:14,077 [P12336/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-04-17 11:56:14,079 [P12336/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-04-17 11:56:14,102 [P12336/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 7195ms)
 2016-04-17 11:56:16,845 [P12336/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-04-17 11:56:16,892 [P12336/D2/T6] INFO  umbraco.content - Saved Xml to file.
 2016-04-17 11:56:17,665 [P12336/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:7383/umbraco (UmbracoModule request)
 2016-04-17 11:57:18,124 [P12336/D2/T19] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-04-16 11:57:18
 2016-04-17 11:57:18,208 [P12336/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-04-17 11:57:18,230 [P12336/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 21ms)
 2016-04-17 11:57:22,164 [P12336/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username endizhupani from IP address ::1
 2016-04-17 11:57:22,164 [P12336/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: endizhupani logged in from IP address ::1
 2016-04-17 11:57:22,398 [P12336/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-17 11:57:22,414 [P12336/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 18ms)
 2016-04-17 11:57:22,757 [P12336/D2/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-04-17 11:57:22,789 [P12336/D2/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 18ms)
 2016-04-17 11:57:22,836 [P12336/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-17 11:57:22,836 [P12336/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2016-04-17 11:57:22,836 [P12336/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-04-17 11:57:22,992 [P12336/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 150ms)
 2016-04-17 11:57:23,007 [P12336/D2/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-04-17 11:57:23,039 [P12336/D2/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 31ms)
 2016-04-17 12:16:52,297 [P12336/D2/T48] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: endizhupani, IP Address: ::1
 2016-04-17 12:24:59,238 [P12336/D2/T56] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username endizhupani from IP address ::1
 2016-04-17 12:24:59,238 [P12336/D2/T56] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: endizhupani logged in from IP address ::1
 2016-04-17 12:30:01,711 [P12336/D2/T101] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2016-04-17 12:30:01,726 [P12336/D2/T101] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 21ms)
 2016-04-17 12:30:01,976 [P12336/D2/T101] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-04-17 12:30:01,992 [P12336/D2/T101] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 22ms)
 2016-04-17 12:32:01,043 [P12336/D2/T82] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field default
 2016-04-17 15:57:25,618 [P12336/D2/T19] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-04-16 15:57:25
 2016-04-17 16:50:26,894 [P12336/D2/T226] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username endizhupani from IP address ::1
 2016-04-17 16:50:26,895 [P12336/D2/T226] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: endizhupani logged in from IP address ::1
 2016-04-17 16:50:26,954 [P12336/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-17 16:50:26,955 [P12336/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2016-04-17 16:57:59,946 [P12336/D2/T225] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-17 16:57:59,946 [P12336/D2/T225] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-04-17 17:00:18,899 [P12336/D2/T97] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-17 17:00:18,900 [P12336/D2/T97] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
